,,Overall,,,,,,Conf.,,Home,,Away,,Points,,,,Opponent Totals,,,,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
1,Abilene Christian,26,21,5,0.808,-1.74,-7.33,10,3,11,1,8,4,1953,1652,,1050,563,1310,0.43,140,433,0.323,386,528,0.731,217,817,261,152,68,442,455
2,Air Force,26,11,15,0.423,-3.85,1.28,6,8,8,5,2,8,1749,1852,,1060,665,1469,0.453,229,661,0.346,293,434,0.675,215,865,357,196,69,327,451
3,Akron,26,14,12,0.538,5.58,0.25,6,7,11,2,1,8,1806,1631,,1045,594,1476,0.402,167,557,0.3,276,423,0.652,275,1002,262,136,66,363,461
4,Alabama A&M,26,5,21,0.192,-18.25,-7.02,4,8,4,5,0,14,1603,1895,,1055,672,1424,0.472,203,570,0.356,348,551,0.632,267,951,369,202,96,374,390
5,Alabama-Birmingham,27,16,11,0.593,0.05,-1.75,8,6,10,4,5,4,1901,1818,,1085,620,1513,0.41,230,683,0.337,348,483,0.72,246,890,336,140,84,330,422
6,Alabama State,23,10,13,0.435,-12.71,-5.94,8,4,8,1,1,10,1560,1626,,925,573,1304,0.439,171,497,0.344,309,439,0.704,248,854,313,164,75,357,452
7,Alabama,26,15,11,0.577,10.22,8.72,6,7,9,3,3,7,1917,1878,,1040,684,1535,0.446,170,502,0.339,340,482,0.705,254,872,292,155,105,315,504
8,Albany (NY),27,10,17,0.37,-9.22,-5.64,5,7,5,7,4,8,1801,1877,,1095,680,1530,0.444,210,598,0.351,307,473,0.649,266,954,386,179,108,349,478
9,Alcorn State,25,8,17,0.32,-20.68,-7.87,4,9,8,3,0,13,1612,1726,,1000,621,1400,0.444,166,528,0.314,318,475,0.669,250,895,389,179,71,356,393
10,American,26,13,13,0.5,-3.98,-6.98,7,8,8,5,4,8,1876,1798,,1060,648,1506,0.43,131,460,0.285,371,522,0.711,268,885,325,162,83,313,468
11,Appalachian State,26,9,17,0.346,-2.81,0.84,4,9,8,2,1,10,2100,2055,,1050,737,1596,0.462,193,537,0.359,388,556,0.698,279,979,349,181,87,355,516
12,Arizona State,26,18,8,0.692,11.5,5.65,9,5,12,3,4,4,2066,1914,,1055,630,1536,0.41,225,679,0.331,429,602,0.713,253,909,352,169,83,362,567
13,Arizona,27,15,12,0.556,9.62,6.18,6,8,10,4,3,6,1949,1856,,1090,665,1487,0.447,181,550,0.329,345,515,0.67,248,940,320,136,101,400,529
14,Little Rock,26,10,16,0.385,-2.96,-1.96,5,8,7,7,3,9,1966,1961,,1050,662,1516,0.437,237,663,0.357,400,566,0.707,256,897,367,138,65,382,563
15,Arkansas-Pine Bluff,26,11,15,0.423,-14.87,-6.87,8,5,7,1,3,14,1721,1888,,1060,653,1401,0.466,173,473,0.366,409,608,0.673,251,886,354,202,89,371,505
16,Arkansas State,26,11,15,0.423,-6.79,-0.7,5,8,8,3,2,10,1930,2016,,1065,661,1523,0.434,191,566,0.337,503,667,0.754,278,941,338,165,89,332,533
17,Arkansas,26,14,12,0.538,11.01,8.32,5,8,10,5,3,6,1979,1909,,1050,632,1505,0.42,219,641,0.342,426,615,0.693,325,1006,341,159,81,432,581
18,Army,28,12,16,0.429,-7.44,-4.44,7,8,9,3,3,11,1992,2022,,1120,748,1623,0.461,235,650,0.362,291,442,0.658,209,1032,398,183,117,384,442
19,Auburn,26,18,8,0.692,21.11,8.43,7,6,13,2,2,5,2121,1753,,1050,586,1406,0.417,208,616,0.338,373,533,0.7,285,906,306,163,91,472,474
20,Austin Peay,28,20,8,0.714,1.19,-4.81,12,3,8,2,8,5,2295,1995,,1135,714,1618,0.441,193,600,0.322,374,555,0.674,289,967,366,167,93,462,567
21,Ball State,26,14,12,0.538,5.16,1.48,5,8,7,4,6,6,2024,1886,,1060,676,1638,0.413,185,587,0.315,349,474,0.736,282,907,316,168,86,332,522
22,Baylor,26,17,9,0.654,13.63,7.13,8,5,11,4,5,4,1867,1698,,1040,587,1418,0.414,177,529,0.335,347,506,0.686,264,816,324,153,106,337,469
23,Belmont,26,22,4,0.846,7.89,-3.19,13,2,11,1,10,3,2269,1938,,1050,702,1669,0.421,207,605,0.342,327,459,0.712,247,923,315,169,99,331,443
24,Bethune-Cookman,27,12,15,0.444,-11.17,-8.61,7,6,9,3,3,12,1998,1952,,1085,673,1660,0.405,187,626,0.299,419,611,0.686,329,1022,380,181,105,403,525
25,Binghamton,27,8,19,0.296,-14.33,-4.69,4,8,5,8,2,11,1743,1922,,1080,712,1626,0.438,248,643,0.386,250,382,0.654,306,1052,452,183,71,332,424
26,Boise State,26,11,15,0.423,3.81,0.69,6,7,7,5,3,8,1863,1765,,1040,619,1389,0.446,185,553,0.335,342,464,0.737,200,801,315,132,73,327,461
27,Boston College,25,13,12,0.52,6.7,6.9,4,9,9,6,2,6,1803,1808,,1015,630,1515,0.416,204,641,0.318,344,457,0.753,281,920,342,149,75,290,464
28,Boston University,28,12,16,0.429,-6.23,-4.78,5,10,5,6,7,9,2015,2017,,1125,724,1552,0.466,205,594,0.345,364,504,0.722,224,892,371,165,93,349,451
29,Bowling Green State,26,19,7,0.731,6.13,-0.24,11,2,13,1,5,5,2052,1835,,1045,631,1558,0.405,230,679,0.339,343,489,0.701,234,912,292,165,75,346,515
30,Bradley,28,15,13,0.536,-0.92,-1.55,7,8,8,6,5,7,1895,1862,,1125,630,1512,0.417,199,598,0.333,403,567,0.711,260,942,347,160,74,365,536
31,Brigham Young,29,18,11,0.621,7.36,2.74,10,4,12,2,5,7,2315,2181,,1175,757,1733,0.437,230,634,0.363,437,603,0.725,293,1046,391,163,74,376,591
32,Brown,24,15,9,0.625,-0.65,-3.52,3,5,9,2,6,7,1783,1649,,970,587,1415,0.415,168,559,0.301,307,460,0.667,234,870,294,152,80,363,501
33,Bryant,26,9,17,0.346,-15.37,-6.87,6,9,6,6,2,10,1813,2034,,1040,703,1468,0.479,227,564,0.402,401,545,0.736,263,939,396,155,103,339,505
34,Bucknell,27,17,10,0.63,0.34,-2.03,11,4,8,3,7,6,2047,1983,,1085,714,1654,0.432,183,570,0.321,372,525,0.709,286,964,349,181,84,323,517
35,Buffalo,26,23,3,0.885,15.87,2.11,11,2,11,0,10,3,2234,1856,,1045,661,1572,0.42,184,582,0.316,350,507,0.69,257,953,269,139,81,413,515
36,Butler,27,15,12,0.556,11.84,8.17,6,8,11,3,2,7,1979,1880,,1085,657,1460,0.45,203,575,0.353,363,525,0.691,241,914,316,145,93,350,445
37,Cal Poly,24,5,19,0.208,-13.53,-3.48,1,10,3,6,1,11,1528,1721,,985,609,1344,0.453,173,467,0.37,330,480,0.688,239,897,345,130,85,276,386
38,Cal State Bakersfield,26,16,10,0.615,-3.3,-2.47,7,5,9,3,5,6,1896,1838,,1050,572,1306,0.438,199,538,0.37,495,684,0.724,240,836,320,138,64,385,476
39,Cal State Fullerton,26,13,13,0.5,-0.72,0.12,9,3,7,2,4,9,1905,1833,,1060,660,1573,0.42,170,549,0.31,343,513,0.669,250,932,335,143,61,326,499
